state,n
AK,3
AL,35
AR,26
AZ,22
CA,155
CO,19
CT,5
DC,15
DE,6
FL,133
GA,89
HI,2
IA,8
ID,1
IL,68
IN,33
KS,7
KY,16
LA,69
MA,8
MD,55
ME,1
MI,30
MN,13
MO,55
MS,26
MT,0
NC,56
ND,0
NE,6
NH,0
NJ,34
NM,2
NV,17
NY,51
OH,70
OK,36
OR,7
PA,46
RI,2
SC,28
SD,0
TN,36
TX,117
UT,7
VA,45
VT,0
WA,25
WI,23
WV,8
WY,0
